steps,frequency_index,recurrence_modulus_minus_one,direct_modulus_minus_one,recurrence_phase_error_rad,direct_phase_error_rad,pi_constant_phase_bias_rad,double_cpu_pi_modulus_minus_one,double_cpu_pi_phase_error_rad,double_full_pi_modulus_minus_one,double_full_pi_phase_error_rad
10240,161220,0.0002774257648729961,1.857884002198773e-08,-0.00017688838864337217,1.913491864103081e-08,-0.00011899335192883001,-1.6420198534206065e-13,-0.00011899335153501035,-3.7214675785435247e-13,-1.0384888636926707e-10
10752,161732,0.00029081886154780356,2.5467182362959306e-08,-0.00018098734549914743,-1.2369752962060959e-08,-0.00011937124918839806,-1.7130741269966165e-13,-0.00011937124877058297,-3.9057646006313007e-13,-1.0405792141634877e-10
11264,162244,0.0003043468841337216,-2.563093770557856e-08,-0.00018488796578413518,-1.081880204969501e-08,-0.00011974914644796611,-1.7907897387203775e-13,-0.0001197491460032291,-4.1089354141377044e-13,-1.0426691431552044e-10
11776,162756,0.0003191869782268597,2.7808965352704718e-08,-0.00018879466169066984,-4.932098888264817e-09,-0.00012012704370753416,-1.8662849043948881e-13,-0.00012012704323647035,-4.306555112520982e-13,-1.0447650063542786e-10
12288,163268,0.0003335952872742798,-3.1145090506612405e-08,-0.00019255828662121397,1.3153684816241785e-09,-0.00012050494096710221,-1.9317880628477724e-13,-0.00012050494047163618,-4.5063952569535104e-13,-1.0468536959137784e-10
12800,163780,0.00034805012728567064,1.538468752393385e-08,-0.00019551851502840658,-1.5603663357997032e-10,-0.00012088283822667026,-2.0106138975961585e-13,-0.00012088283770646241,-4.695133171139787e-13,-1.0489494206477047e-10
13312,164292,0.0003623764469773416,-3.741559950753981e-09,-0.00019847338686172636,2.6240109087442547e-08,-0.0001212607354862383,-2.0938806244430452e-13,-0.00012126073493988747,-4.881650639276813e-13,-1.0510261238924049e-10
13824,164804,0.0003759128712896853,-2.889838102149156e-08,-0.0002018626640911518,-3.241615423745261e-10,-0.00012163863274580636,-2.177147351289932e-13,-0.0001216386321752686,-5.061506769266089e-13,-1.053119163483842e-10
14336,165316,0.00039005241070899643,-2.5439828021944777e-09,-0.00020497436095575722,-2.0142570946789012e-08,-0.0001220165300053744,-2.2681856393091948e-13,-0.0001220165294092923,-5.258016244624741e-13,-1.0552048183120016e-10
14848,165828,0.0004035417577925582,-7.93237830976068e-09,-0.00020736274429524734,-6.116343205424057e-09,-0.00012239442726494246,-2.369215934550084e-13,-0.00012239442664227908,-5.45785638905727e-13,-1.057291250450509e-10
