template_hash,sample_from_gps_start,call,point_in_call,local_sample,max_bin_width,observed_cpu,direct_cpu_inputs,cpu_double,original_cpu,branch_cpu,jax_cpu_batched,jax_cuda_batched
760965857927828048,1857794,16,0,297218,372009,31.878570556640625,31.903520584106445,31.903432386393213,31.878570556640625,31.878570556640625,31.903520584106445,31.903533935546875
760965857927828048,2899804,17,0,558940,372009,38.22797393798828,38.19084548950195,38.1905970371223,38.22797393798828,38.22797393798828,38.190853118896484,38.190879821777344
2357302163257848109,1086962,4,0,306674,373308,24.226299285888672,24.247068405151367,24.24709983265025,24.226299285888672,24.226299285888672,24.247068405151367,24.2470760345459
2357302163257848109,2825818,5,0,484954,373308,33.31629943847656,33.3259391784668,33.325883465310866,33.31629943847656,33.31629943847656,33.32595443725586,33.325950622558594
2357302163257848109,2960752,5,1,619888,373308,36.28294372558594,36.33709716796875,36.337011838727726,36.28294372558594,36.28294372558594,36.33709716796875,36.33710479736328
2401921633722077945,238084,32,0,238084,375465,28.56255340576172,28.571935653686523,28.57189313698351,28.56255340576172,28.56255340576172,28.571924209594727,28.571916580200195
2401921633722077945,425710,32,1,425710,375465,25.87529945373535,25.887182235717773,25.88699043363105,25.87529945373535,25.87529945373535,25.887165069580078,25.887203216552734
2401921633722077945,1891805,33,0,331229,375465,28.985126495361328,28.961273193359375,28.961359440902335,28.985126495361328,28.985126495361328,28.961267471313477,28.961280822753906
2401921633722077945,2393053,33,1,832477,375465,23.451234817504883,23.416688919067383,23.416832101176407,23.451234817504883,23.451234817504883,23.41667938232422,23.41669464111328
2401921633722077945,2797492,34,0,456628,375465,30.63452911376953,30.628358840942383,30.628408225097665,30.63452911376953,30.63452911376953,30.628355026245117,30.628366470336914
2626452224578666627,1219264,45,0,438976,377494,43.263973236083984,43.255332946777344,43.25529907614209,43.263973236083984,43.263973236083984,43.25532913208008,43.255374908447266
2626452224578666627,1623646,45,1,843358,377494,32.206459045410156,32.23146057128906,32.23079632677537,32.206459045410156,32.206459045410156,32.23145294189453,32.23149871826172
2626452224578666627,3112304,46,0,771440,377494,36.3509407043457,36.32842254638672,36.32856977814545,36.3509407043457,36.3509407043457,36.32842254638672,36.32843780517578
2735949431105606605,2416160,35,0,855584,376635,35.144142150878906,35.139522552490234,35.139984813744704,35.144142150878906,35.144142150878906,35.1395263671875,35.1395378112793
3441652710154813180,1925019,53,0,364443,389831,28.06073760986328,28.065385818481445,28.065359628753246,28.06073760986328,28.06073760986328,28.065385818481445,28.065391540527344
3441652710154813180,2328651,53,1,768075,389831,32.794612884521484,32.806522369384766,32.80654338534857,32.794612884521484,32.794612884521484,32.806522369384766,32.806522369384766
3441652710154813180,2914671,54,0,573807,389831,28.935209274291992,28.935165405273438,28.935033850207876,28.935209274291992,28.935209274291992,28.93517303466797,28.935178756713867
3441652710154813180,3673242,55,0,560282,389831,35.83517837524414,35.828765869140625,35.82857039189156,35.83517837524414,35.83517837524414,35.828765869140625,35.828773498535156
4228166803784368266,595058,59,0,595058,396226,35.06706619262695,35.0725212097168,35.07227238176413,35.06706619262695,35.06706619262695,35.07251739501953,35.072532653808594
4228166803784368266,815544,59,1,815544,396226,37.8193244934082,37.826908111572266,37.82698340696033,37.8193244934082,37.8193244934082,37.82691192626953,37.826927185058594
4228166803784368266,1355854,60,0,575566,396226,31.47511863708496,31.504268646240234,31.504228767597805,31.47511863708496,31.47511863708496,31.504268646240234,31.504291534423828
4228166803784368266,2758540,61,0,417676,396226,29.356246948242188,29.36297607421875,29.3629863286159,29.356246948242188,29.356246948242188,29.362974166870117,29.362987518310547
4786683966647376576,637461,21,0,637461,376380,31.889589309692383,31.874351501464844,31.87447562074771,31.889589309692383,31.889589309692383,31.874351501464844,31.87436294555664
4786683966647376576,1778964,22,1,998676,376380,23.283769607543945,23.27928924560547,23.279282064144176,23.283769607543945,23.283769607543945,23.27928352355957,23.2792911529541
4786683966647376576,2107461,23,0,546885,376380,31.522655487060547,31.492385864257812,31.492247469454263,31.522655487060547,31.522655487060547,31.492395401000977,31.492403030395508
4786683966647376576,2434077,23,1,873501,376380,36.98326110839844,36.996742248535156,36.99637586605363,36.98326110839844,36.98326110839844,36.99674987792969,36.99674606323242
4786683966647376576,3312221,24,0,971357,376380,40.60462951660156,40.61748504638672,40.617535328354336,40.60462951660156,40.60462951660156,40.61748504638672,40.61750411987305
5415754406052258665,2218017,8,0,657441,371720,29.51900863647461,29.51414680480957,29.51407745583685,29.51900863647461,29.51900863647461,29.51413917541504,29.51414680480957
6634742795669416155,654068,47,0,654068,394557,27.715267181396484,27.725784301757812,27.725949016540163,27.715267181396484,27.715267181396484,27.725784301757812,27.725818634033203
6634742795669416155,2677968,49,0,337104,394557,34.65983581542969,34.674320220947266,34.67432545658631,34.65983581542969,34.65983581542969,34.67431640625,34.6743278503418
6634742795669416155,3673228,50,0,560268,394557,36.042205810546875,36.04308319091797,36.04324559549594,36.042205810546875,36.042205810546875,36.04308319091797,36.04310607910156
6739289091516487957,569943,44,0,569943,370556,29.831573486328125,29.84143829345703,29.841426449730093,29.831573486328125,29.831573486328125,29.841440200805664,29.84145736694336
7522625665406763311,590384,36,0,590384,377897,33.50901794433594,33.51503372192383,33.51501245550288,33.50901794433594,33.50901794433594,33.51502990722656,33.5150260925293
8310026711724721334,414643,37,0,414643,371539,26.7073917388916,26.684579849243164,26.68476581669791,26.7073917388916,26.7073917388916,26.684581756591797,26.68459701538086
8310026711724721334,1240779,38,1,460491,371539,28.655481338500977,28.61855697631836,28.618859234461308,28.655481338500977,28.655481338500977,28.618555068969727,28.618558883666992
8310026711724721334,1866196,39,0,305620,371539,24.446407318115234,24.465030670166016,24.46500805131393,24.446407318115234,24.446407318115234,24.46503257751465,24.46501350402832
8310026711724721334,2271829,39,1,711253,371539,30.774009704589844,30.76239013671875,30.762524091561048,30.774009704589844,30.774009704589844,30.76239585876465,30.762418746948242
8310026711724721334,3411960,40,0,299000,371539,35.1851921081543,35.11855697631836,35.118699306887734,35.1851921081543,35.1851921081543,35.118560791015625,35.11855697631836
