index,psd,reference,boundary,stable,reference_edge,possible_min,possible_max,uncertainty_aware_comparison,old_edge,old_point_estimate_shift,current_edge,current_point_estimate_shift,ideal_public_rounding_edge,ideal_public_rounding_point_estimate_shift
15,original,input_power,12,True,1029128,1029128,1029128,current_closer,1029157,29,1029128,0,1029128,0
15,original,input_power,13,True,1035018,1035018,1035018,current_closer,1035035,17,1035018,0,1035018,0
15,original,input_power,14,True,1039892,1039892,1039892,current_closer,1039900,8,1039892,0,1039892,0
15,original,input_power,15,True,1044373,1044373,1044373,current_closer,1044378,5,1044373,0,1044373,0
16,original,input_power,1,True,28484,28484,28484,current_closer,28477,-7,28484,0,28484,0
16,original,input_power,2,True,37525,37525,37525,current_closer,37511,-14,37525,0,37525,0
16,original,input_power,3,True,45481,45481,45481,current_closer,45462,-19,45481,0,45481,0
16,original,input_power,4,True,53628,53628,53628,current_closer,53597,-31,53628,0,53628,0
16,original,input_power,5,True,63573,63573,63573,current_closer,63523,-50,63573,0,63573,0
16,original,input_power,6,True,75960,75960,75960,current_closer,75878,-82,75960,0,75960,0
16,original,input_power,7,True,93651,93651,93651,current_closer,93511,-140,93651,0,93651,0
16,original,input_power,8,True,123573,123573,123573,current_closer,123246,-327,123573,0,123573,0
16,original,input_power,9,True,278810,278810,278810,current_closer,272524,-6286,278810,0,278810,0
16,original,input_power,10,True,1008740,1008740,1008740,current_closer,1008892,152,1008740,0,1008740,0
16,original,input_power,11,True,1021478,1021478,1021478,current_closer,1021517,39,1021478,0,1021478,0
16,original,input_power,12,True,1029186,1029186,1029186,current_closer,1029211,25,1029186,0,1029186,0
16,original,input_power,13,True,1035054,1035054,1035054,current_closer,1035069,15,1035054,0,1035054,0
16,original,input_power,14,True,1039911,1039911,1039911,current_closer,1039919,8,1039911,0,1039911,0
16,original,input_power,15,True,1044383,1044383,1044383,current_closer,1044387,4,1044383,0,1044383,0
17,original,input_power,1,True,28494,28494,28494,current_closer,28474,-20,28494,0,28494,0
17,original,input_power,2,True,37543,37543,37543,current_closer,37504,-39,37543,0,37543,0
17,original,input_power,3,True,45508,45508,45508,current_closer,45453,-55,45508,0,45508,0
17,original,input_power,4,True,53672,53672,53672,current_closer,53583,-89,53672,0,53672,0
17,original,input_power,5,True,63644,63644,63644,current_closer,63502,-142,63644,0,63644,0
17,original,input_power,6,True,76069,76069,76069,current_closer,75839,-230,76069,0,76069,0
17,original,input_power,7,True,93819,93819,93819,current_closer,93446,-373,93819,0,93819,0
17,original,input_power,8,True,124006,124006,124006,current_closer,123099,-907,124006,0,124006,0
17,original,input_power,9,True,287765,287765,287765,current_closer,270311,-17454,287765,0,287765,0
17,original,input_power,10,True,1008992,1008992,1008992,current_closer,1009330,338,1008992,0,1008992,0
17,original,input_power,11,True,1021555,1021555,1021555,current_closer,1021664,109,1021555,0,1021555,0
17,original,input_power,12,True,1029239,1029239,1029239,current_closer,1029304,65,1029239,0,1029239,0
17,original,input_power,13,True,1035088,1035088,1035088,current_closer,1035129,41,1035088,0,1035088,0
17,original,input_power,14,True,1039931,1039931,1039931,current_closer,1039953,22,1039931,0,1039931,0
17,original,input_power,15,True,1044393,1044393,1044393,current_closer,1044404,11,1044393,0,1044393,0
18,original,input_power,1,True,28504,28504,28504,current_closer,28485,-19,28504,0,28504,0
18,original,input_power,2,True,37562,37562,37562,current_closer,37526,-36,37562,0,37562,0
18,original,input_power,3,True,45542,45542,45542,current_closer,45483,-59,45542,0,45542,0
18,original,input_power,4,True,53718,53718,53718,current_closer,53631,-87,53718,0,53718,0
18,original,input_power,5,True,63721,63721,63721,current_closer,63579,-142,63721,0,63721,0
18,original,input_power,6,True,76198,76198,76198,current_closer,75969,-229,76198,0,76198,0
18,original,input_power,7,True,94020,94020,94020,current_closer,93668,-352,94020,0,94020,0
18,original,input_power,8,True,124507,124507,124507,current_closer,123609,-898,124507,0,124507,0
18,original,input_power,9,True,301720,301720,301720,current_closer,278378,-23342,301720,0,301720,0
18,original,input_power,10,True,1009206,1009206,1009206,current_closer,1009546,340,1009206,0,1009206,0
18,original,input_power,11,True,1021636,1021636,1021636,current_closer,1021742,106,1021636,0,1021636,0
18,original,input_power,12,True,1029289,1029289,1029289,current_closer,1029353,64,1029289,0,1029289,0
