shape,n,npoints,dtype,variant,median_ms,q25_ms,q75_ms
uniform,1048576,2,complex128,malloc,3.1543044606223702,3.152400953695178,3.155336482450366
uniform,1048576,2,complex128,malloc1,3.3075379906222224,3.305499558337033,3.3085199538618326
uniform,1048576,2,complex128,cache,3.3094020327553153,3.3084950409829617,3.3126979833468795
uniform,1048576,2,complex128,numpy,3.320633084513247,3.3158339792862535,3.322646487504244
uniform,1048576,5,complex128,base,5.115094478242099,5.114413448609412,5.123125039972365
uniform,1048576,5,complex128,malloc,5.022971541620791,5.021599004976451,5.025260499678552
uniform,1048576,5,complex128,malloc1,7.068911916576326,7.065420504659414,7.071501458995044
uniform,1048576,5,complex128,cache,7.074021501466632,7.072303560562432,7.08131049759686
uniform,1048576,5,complex128,numpy,7.072032545693219,7.0696985349059105,7.072724518366158
captured,1048576,1,complex64,base,2.3563960567116737,2.3210489889606833,2.358895493671298
captured,1048576,1,complex64,malloc,2.324566012248397,2.324070082977414,2.3254980333149433
captured,1048576,1,complex64,malloc1,3.1262015691027045,3.1258210074156523,3.127153031527996
captured,1048576,1,complex64,cache,3.12656257301569,3.1257609371095896,3.1276195077225566
captured,1048576,1,complex64,numpy,3.127494012005627,3.1264069257304072,3.1284504802897573
captured,1048576,2,complex64,base,2.3081450490280986,2.3057154612615705,2.3101335391402245
captured,1048576,2,complex64,malloc,3.2497445354238153,3.246342996135354,3.2501399982720613
captured,1048576,2,complex64,malloc1,3.267247579060495,3.2650934299454093,3.2696520211175084
captured,1048576,2,complex64,cache,3.265994950197637,3.2653689850121737,3.2677334966138005
captured,1048576,2,complex64,numpy,3.267578431405127,3.2658299896866083,3.2678483985364437
captured,1048576,5,complex64,base,3.574936999939382,3.5738000879064202,3.5779729951173067
captured,1048576,5,complex64,malloc,5.438694963231683,5.436435458250344,5.43915550224483
captured,1048576,5,complex64,malloc1,6.985074025578797,6.9845980033278465,6.986877415329218
captured,1048576,5,complex64,cache,6.923668552190065,6.920327083207667,6.9256320130079985
captured,1048576,5,complex64,numpy,6.9241790333762765,6.920427083969116,6.9302310002967715
captured,1048576,1,complex128,base,2.289704978466034,2.2872454719617963,2.291377983056009
captured,1048576,1,complex128,malloc,2.2142829839140177,2.2136864718049765,2.220805501565337
captured,1048576,1,complex128,malloc1,3.1861199531704187,3.1782794976606965,3.1886245124042034
captured,1048576,1,complex128,cache,3.199154045432806,3.1912190606817603,3.200416569598019
captured,1048576,1,complex128,numpy,3.2000455539673567,3.1896360451355577,3.203683067113161
