# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u' (time slices: 548515.257522922,548616.782023100)
# Event count (approx.): 265145572344
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .....................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python   python3.11                                             [.] member_get
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::fill__Scalar::call(at::Tensor&, c10::Scalar const&)
     0.01%  python   libz.so.1.3.1                                          [.] inflate
     0.01%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::reorder_dimensions()
     0.01%  python   libc10.so                                              [.] c10::TensorImpl::_fw_grad(unsigned long, at::TensorBase const&) const
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::copy_::call(at::Tensor&, at::Tensor const&, bool)
     0.01%  python   python3.11                                             [.] method_vectorcall
     0.01%  python   python3.11                                             [.] initialize_locals
     0.01%  python   libtorch_cpu.so                                        [.] c10::TensorImpl::empty_tensor_restride(c10::MemoryFormat)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::DispatchStubImpl::try_choose_cpu_impl(void*, void*, void*)
     0.01%  python   libtorch_python.so                                     [.] torch::utils::(anonymous namespace)::internal_new_from_data(c10::TensorOptions, c10::ScalarType, std::optional<c10::Device>, _object*, bool, bool, bool, bool)
     0.01%  python   python3.11                                             [.] object_dealloc
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::set__source_Storage::call(at::Tensor&, c10::Storage)
     0.01%  python   libc10.so                                              [.] c10::impl::getGlobalPyInterpreter()
     0.01%  python   python3.11                                             [.] _PyFrame_MakeAndSetFrameObject
     0.01%  python   python3.11                                             [.] PyUnicode_AsUTF8AndSize
     0.01%  python   python3.11                                             [.] find_name_in_mro
     0.01%  python   libtorch_cpu.so                                        [.] at::native::as_strided_tensorimpl(at::Tensor const&, c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>)
     0.01%  python   libstdc++.so.6.0.32                                    [.] operator new(unsigned long)
     0.01%  python   python3.11                                             [.] PyObject_HasAttrString
     0.01%  python   python3.11                                             [.] convert_to_double
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5S_get_select_bounds
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I__remove_common
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromScalar.part.0
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_TransferNDimToStrided
     0.01%  python   libtorch_python.so                                     [.] THPVariable_device(THPVariable*, void*)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#18}::operator()() const::{lambda()#1}::operator()() const [clone .isra.0]
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::detach::redispatch(c10::DispatchKeySet, at::Tensor const&)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)
     0.01%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::populate_operands(at::TensorIteratorConfig&)
     0.01%  python   python3.11                                             [.] insertdict
     0.01%  python   libstdc++.so.6.0.32                                    [.] std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::_M_pbump(char*, char*, long)
     0.01%  python   python3.11                                             [.] _PyHamt_Find.constprop.0
     0.01%  python   libc10.so                                              [.] c10::WarningUtils::get_warning_handler()
     0.01%  python   python3.11                                             [.] PyUnicode_New
     0.01%  python   python3.11                                             [.] float_new_impl
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>), &at::(anonymous namespace)::empty_memory_format>, at::Tensor, c10::guts::typelist::typelist<c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat> > >, at::Tensor (c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)
     0.01%  python   libc.so.6                                              [.] __memcmp_avx2_movbe
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::detach::call(at::Tensor const&)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_subscript
     0.01%  python   python3.11                                             [.] _PyObject_CallMethodIdObjArgs.cold
     0.01%  python   python3.11                                             [.] _Py_NewReference
     0.01%  python   _ctypes.cpython-311-x86_64-linux-gnu.so                [.] _ctypes_callproc
     0.01%  python   libtorch_python.so                                     [.] c10::dispatchKeyToDeviceType(c10::DispatchKey)
     0.01%  python   _ctypes.cpython-311-x86_64-linux-gnu.so                [.] _ctypes_callproc.cold
     0.01%  python   python3.11                                             [.] PyImport_Import
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_mul(_object*, _object*, _object*)
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::lift_fresh::call(at::Tensor const&)
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::slice_Tensor::call(at::Tensor const&, long, std::optional<c10::SymInt>, std::optional<c10::SymInt>, c10::SymInt)
     0.01%  python   python3.11                                             [.] PyObject_GetAttrString
     0.01%  python   [unknown]                                              [k] 0xffffffff85067dc3
     0.01%  python   [unknown]                                              [k] 0xffffffff86401638
     0.01%  python   _ctypes.cpython-311-x86_64-linux-gnu.so                [.] i_get
     0.01%  python   [unknown]                                              [k] 0xffffffff85226c67
     0.01%  python   libtorch_python.so                                     [.] THPVariable_layout(THPVariable*, void*)
     0.01%  python   libtorch_cpu.so                                        [.] torch::autograd::DifferentiableViewMeta::DifferentiableViewMeta(c10::TensorImpl*, std::optional<torch::autograd::ViewInfo>, std::optional<torch::autograd::ViewInfo>, bool, torch::autograd::CreationMeta)
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] __Pyx_BufFmt_TypeCharToAlignment(char, int) [clone .constprop.0]
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_is_inference(_object*, _object*, _object*)
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (at::Tensor&, at::Tensor const&, bool), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CompositeExplicitAutograd__copy_>, at::Tensor&, c10::guts::typelist::typelist<at::Tensor&, at::Tensor const&, bool> >, at::Tensor& (at::Tensor&, at::Tensor const&, bool)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool)
     0.01%  python   python3.11                                             [.] insert_to_emptydict
     0.01%  python   libc.so.6                                              [.] __offtime
     0.01%  python   libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#9}::operator()() const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#9}::operator()() const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#1}> >(long, char**, long const*, long, long)
     0.01%  python   python3.11                                             [.] PyThread_tss_get
     0.01%  python   python3.11                                             [.] parse_internal_render_format_spec
