# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'cycles:u'
# Event count (approx.): 308143790071
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec::AVX2::Vectorized<float>)#1}> >(long, char**, long const*, long, long)
     0.10%  python      python3.11                                             [.] visit_reachable
     0.09%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] handle_scalar
     0.09%  python      libtorch_cpu.so                                        [.] void at::native::(anonymous namespace)::vectorized_inner_sum<double, at::native::(anonymous namespace)::InnerSumCastLoadPolicy<at::vec::AVX2::Vectorized<double>, at::vec::AVX2::Vectorized<double>, void>, at::native::(anonymous namespace)::CastLoadPolicy<double, double>, at::native::(anonymous namespace)::CastStoreAccumulate<double, double> >(char* restrict*, long, long, long, long)
     0.07%  python      libc.so.6                                              [.] __memmove_avx_unaligned_erms
     0.07%  python      libframel-9cd69e87.so.8.43.1                           [.] huft_build
     0.06%  python      libtorch_cpu.so                                        [.] mkl_dft_def_owns_cRadix4FwdNorm_64fc
     0.06%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_32fc
     0.06%  python      libm.so.6                                              [.] __csqrtf
     0.06%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_32fc
     0.05%  python      python3.11                                             [.] dict_traverse
     0.05%  python      libc.so.6                                              [.] _int_malloc
     0.05%  python      python3.11                                             [.] object_dealloc
     0.05%  python      libm.so.6                                              [.] __powf_fma
     0.05%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_initTabTwd_L1_32f
     0.05%  python      python3.11                                             [.] func_traverse
     0.05%  python      [unknown]                                              [k] 0xffffffff86400ba0
     0.05%  python      libc.so.6                                              [.] malloc
     0.05%  python      ld-linux-x86-64.so.2                                   [.] do_lookup_x
     0.05%  python      libc.so.6                                              [.] __memmove_avx_unaligned
     0.05%  python      python3.11                                             [.] subtype_traverse
     0.05%  python      python3.11                                             [.] PyObject_GetAttr
     0.05%  python      libframel-9cd69e87.so.8.43.1                           [.] Frz_inflate_blocks
     0.05%  python      libframel-9cd69e87.so.8.43.1                           [.] Frz_inflate_codes
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_strided_to_contig_size4
     0.04%  python      python3.11                                             [.] _PyFunction_Vectorcall
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Fwd_32fc
     0.04%  python      python3.11                                             [.] dict_dealloc
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Inv_32fc
     0.04%  python      python3.11                                             [.] sre_ucs1_match
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_initTabTwdBase_32f
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_Pack
     0.04%  python      python3.11                                             [.] tupledealloc
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npy_csqrtf
     0.04%  python      python3.11                                             [.] PyObject_GC_Del
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Large_64fc
     0.04%  python      python3.11                                             [.] list_dealloc
     0.04%  python      python3.11                                             [.] assemble
     0.04%  python      libc.so.6                                              [.] __memset_avx2_unaligned
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_to_strided_size4
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] signed_integers_is_known_scalar_types
     0.03%  python      python3.11                                             [.] _PyFrame_Clear
     0.03%  python      [unknown]                                              [k] 0xffffffff8626bd40
     0.03%  python      python3.11                                             [.] unicode_dealloc
     0.03%  python      [unknown]                                              [k] 0xffffffff86400f30
     0.03%  python      libtorch_cpu.so                                        [.] mkl_serv_libm_sin
     0.03%  python      python3.11                                             [.] vectorcall_method
     0.03%  python      libm.so.6                                              [.] powf@GLIBC_2.2.5
     0.03%  python      python3.11                                             [.] r_object
     0.03%  python      python3.11                                             [.] PyObject_Vectorcall
     0.03%  python      libc.so.6                                              [.] __strlen_avx2
     0.03%  python      libtorch_cpu.so                                        [.] mkl_dft_def_owns_cRadix4Fwd_64fc
     0.03%  python      [unknown]                                              [k] 0xffffffff861d9bb7
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_multiply_FMA3__AVX2
     0.03%  python      python3.11                                             [.] shift_expr_rule
     0.03%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::getKernelForDispatchKey(c10::DispatchKey) const
     0.03%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact8_32fc
     0.03%  python      python3.11                                             [.] PyObject_Malloc
     0.03%  python      libtorch_python.so                                     [.] torch::FunctionSignature::parse(_object*, _object*, _object*, _object**, std::vector<_object*, std::allocator<_object*> >&, bool)
     0.03%  python      libmkl_def.so                                          [.] compute_task_fwd
     0.03%  python      python3.11                                             [.] tok_nextc
     0.03%  python      python3.11                                             [.] PyNumber_Long
     0.03%  python      python3.11                                             [.] getset_get
     0.03%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4FwdNorm_32fc
     0.03%  python      python3.11                                             [.] _PyObject_GetMethod
     0.02%  python      python3.11                                             [.] initialize_locals
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] nc_sqrtf
     0.02%  python      python3.11                                             [.] siphash13
     0.02%  python      python3.11                                             [.] set_traverse
     0.02%  python      python3.11                                             [.] update_one_slot
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] binary_search_with_guess.part.0
     0.02%  python      python3.11                                             [.] type_getattro
     0.02%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const
     0.02%  python      python3.11                                             [.] PyLong_AsLongLong
     0.02%  python      python3.11                                             [.] type_traverse
     0.02%  python      python3.11                                             [.] PyDict_GetItemWithError
     0.02%  python      python3.11                                             [.] _PyObject_MakeTpCall
     0.02%  python      python3.11                                             [.] subtype_dealloc
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] LONG_setitem
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignFromCache_Recursive
