# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 165629586928
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.02%  python   python3.11                                             [.] _PyDict_Next
     0.02%  python   [unknown]                                              [k] 0xffffffff86400f30
     0.02%  python   python3.11                                             [.] PyTuple_New
     0.02%  python   libc.so.6                                              [.] unlink_chunk.isra.0
     0.02%  python   python3.11                                             [.] _PyPegen_Parser_Free
     0.02%  python   _ctypes.cpython-311-x86_64-linux-gnu.so                [.] _ctypes_callproc
     0.02%  python   python3.11                                             [.] PyErr_Occurred
     0.02%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_5types_9array_cpu_47_scheme_matches_base_array(_object*, _object* const*, long, _object*)
     0.02%  python   [unknown]                                              [k] 0xffffffff8626bd40
     0.02%  python   python3.11                                             [.] assemble
     0.02%  python   python3.11                                             [.] unicode_fromformat_write_cstr
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_divide
     0.02%  python   python3.11                                             [.] _Py_Dealloc
     0.02%  python   libc.so.6                                              [.] __memset_avx2_unaligned
     0.02%  python   python3.11                                             [.] PyUnicode_FromFormatV
     0.02%  python   python3.11                                             [.] factor_rule
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] LONG_copyswap
     0.02%  python   python3.11                                             [.] set_update_internal
     0.02%  python   [unknown]                                              [k] 0xffffffff8542e114
     0.02%  python   python3.11                                             [.] PyLong_FromLong
     0.02%  python   python3.11                                             [.] tok_nextc
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_multiply_FMA3__AVX2
     0.02%  python   [unknown]                                              [k] 0xffffffff862549ee
     0.02%  python   python3.11                                             [.] primary_raw
     0.02%  python   python3.11                                             [.] do_mkvalue
     0.02%  python   libc.so.6                                              [.] __strlen_avx2
     0.02%  python   python3.11                                             [.] tupletraverse
     0.02%  python   python3.11                                             [.] sum_rule
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_float_to_cfloat
     0.02%  python   python3.11                                             [.] _PyTuple_FromArray
     0.02%  python   python3.11                                             [.] _PyUnicode_FromUCS1
     0.02%  python   libz.so.1.3.1                                          [.] inflate_fast
     0.02%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact4_32fc
     0.02%  python   libc.so.6                                              [.] __strftime_internal
     0.02%  python   python3.11                                             [.] PyCode_Addr2Line
     0.02%  python   python3.11                                             [.] cfunction_call
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _typenum_fromtypeobj
     0.02%  python   python3.11                                             [.] dict_merge
     0.02%  python   _ctypes.cpython-311-x86_64-linux-gnu.so                [.] PyCArg_dealloc
     0.02%  python   [unknown]                                              [k] 0xffffffff853ff924
     0.02%  python   python3.11                                             [.] property_descr_get
     0.02%  python   libz.so.1.3.1                                          [.] inflate_table
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] update_shape
     0.02%  python   python3.11                                             [.] meth_dealloc
     0.02%  python   python3.11                                             [.] vectorcall_method
     0.02%  python   python3.11                                             [.] getset_get
     0.02%  python   libhdf5.so.1000.0.0                                    [.] H5FL_reg_malloc
     0.02%  python   libgomp.so.1.0.0                                       [.] GOMP_parallel
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_multiply
     0.02%  python   python3.11                                             [.] tuple_iter
     0.02%  python   [unknown]                                              [k] 0xffffffff862597a6
     0.02%  python   python3.11                                             [.] PyObject_CallFunctionObjArgs
     0.02%  python   [unknown]                                              [k] 0xffffffff852138e8
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] promote_and_get_info_and_ufuncimpl
     0.02%  python   python3.11                                             [.] _PyType_Lookup
     0.02%  python   python3.11                                             [.] PyObject_RichCompare
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyUFunc_DefaultLegacyInnerLoopSelector
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_ResultType
     0.02%  python   python3.11                                             [.] structseq_dealloc
     0.02%  python   python3.11                                             [.] PyMem_Calloc
     0.02%  python   python3.11                                             [.] _PyType_AllocNoTrack
     0.02%  python   python3.11                                             [.] bitwise_or_rule
     0.02%  python   python3.11                                             [.] PyErr_GivenExceptionMatches
     0.02%  python   python3.11                                             [.] convertsimple
     0.02%  python   python3.11                                             [.] bitwise_xor_rule
     0.02%  python   python3.11                                             [.] listiter_dealloc
     0.01%  python   python3.11                                             [.] _PyObject_MakeTpCall
     0.01%  python   libmkl_def.so                                          [.] mkl_dft_def_ownsCopy_8u
     0.01%  python   python3.11                                             [.] subtype_traverse
     0.01%  python   libc.so.6                                              [.] _int_free
     0.01%  python   python3.11                                             [.] PyObject_Malloc
     0.01%  python   python3.11                                             [.] _PyObject_GC_NewVar
     0.01%  python   python3.11                                             [.] shift_expr_rule
     0.01%  python   python3.11                                             [.] vgetargs1_impl
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_conjugate_FMA3__AVX2
     0.01%  python   python3.11                                             [.] PyFunction_NewWithQualName
     0.01%  python   python3.11                                             [.] listiter_next
     0.01%  python   python3.11                                             [.] binary_iop
     0.01%  python   python3.11                                             [.] insert_to_emptydict
     0.01%  python   [unknown]                                              [k] 0xffffffff851e29c5
     0.01%  python   python3.11                                             [.] PyObject_Free
     0.01%  python   python3.11                                             [.] split
     0.01%  python   python3.11                                             [.] set_traverse
     0.01%  python   python3.11                                             [.] _PyFrame_MakeAndSetFrameObject
     0.01%  python   python3.11                                             [.] PyType_Ready
     0.01%  python   python3.11                                             [.] PySlice_New
     0.01%  python   libc.so.6                                              [.] memcpy@GLIBC_2.2.5
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_power
     0.01%  python   libm.so.6                                              [.] powf@@GLIBC_2.27@plt
     0.01%  python   python3.11                                             [.] PyObject_Hash
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_long_to_double
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_double_to_float
     0.01%  python   python3.11                                             [.] PyList_New
     0.01%  python   [unknown]                                              [k] 0xffffffff8626bd45
     0.01%  python   python3.11                                             [.] list_iter
     0.01%  python   [unknown]                                              [k] 0xffffffff851e29c7
     0.01%  python   [unknown]                                              [k] 0xffffffff854325a5
     0.01%  python   [unknown]                                              [k] 0xffffffff86400ba3
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_fill
     0.01%  python   [unknown]                                              [k] 0xffffffff8545ca4b
     0.01%  python   [unknown]                                              [k] 0xffffffff8545f186
     0.01%  python   [unknown]                                              [k] 0xffffffff8626a15b
     0.01%  python   [unknown]                                              [k] 0xffffffff85433105
     0.01%  python   ld-linux-x86-64.so.2                                   [.] _dl_lookup_symbol_x
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _parallel_thresh_cluster(std::complex<float>*, unsigned int, std::complex<float>*, unsigned int*, float, unsigned int, unsigned int) [clone ._omp_fn.0]
     0.01%  python   [unknown]                                              [k] 0xffffffff85431574
     0.01%  python   python3.11                                             [.] PyFloat_FromDouble
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_f_4h5py_3h5t_11TypeFloatID_py_dtype
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_descr_get
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FL_reg_free
     0.01%  python   python3.11                                             [.] builtin_issubclass
     0.01%  python   python3.11                                             [.] method_vectorcall_O
     0.01%  python   python3.11                                             [.] va_build_stack
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] discover_dtype_from_pyobject
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C_protect
     0.01%  python   libc.so.6                                              [.] _dl_addr
     0.01%  python   libmkl_def.so                                          [.] mkl_serv_libm_sin@plt
     0.01%  python   python3.11                                             [.] va_build_value
