# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 176804251613
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python      [unknown]                                              [k] 0xffffffff854259f4
     0.01%  python      [unknown]                                              [k] 0xffffffff8543269e
     0.01%  python      [unknown]                                              [k] 0xffffffff8545f35b
     0.01%  python      python3.11                                             [.] shift_expr_rule
     0.01%  python      python3.11                                             [.] listiter_next
     0.01%  python      libc.so.6                                              [.] __memrchr_avx2
     0.01%  python      python3.11                                             [.] cell_dealloc
     0.01%  python      [unknown]                                              [k] 0xffffffff86259169
     0.01%  python      python3.11                                             [.] PyUnicode_FromWideChar
     0.01%  python      libtorch_python.so                                     [.] pybind11::detail::clear_instance(_object*)
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_long_to_double
     0.01%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::getKernelForDispatchKey(c10::DispatchKey) const
     0.01%  python      python3.11                                             [.] _PyPegen_new_identifier
     0.01%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::hasKernelForAnyDispatchKey(c10::DispatchKeySet) const
     0.01%  python      python3.11                                             [.] _PyErr_SetObject
     0.01%  python      python3.11                                             [.] translate_newlines
     0.01%  python      python3.11                                             [.] PyMem_Calloc
     0.01%  python      python3.11                                             [.] unicode_hash
     0.01%  python      python3.11                                             [.] PyMember_SetOne
     0.01%  python      libtorch_cpu.so                                        [.] c10::DispatchKeyExtractor::setOperatorHasFallthroughForKey(c10::DispatchKey, bool)
     0.01%  python      [unknown]                                              [k] 0xffffffff8549abcb
     0.01%  python      libm.so.6                                              [.] __csqrt
     0.01%  python      python3.11                                             [.] PyUnicode_InternInPlace
     0.01%  python      python3.11                                             [.] primary_raw
     0.01%  python      python3.11                                             [.] _PyUnicode_Equal
     0.01%  python      python3.11                                             [.] _PyObject_VectorcallTstate.lto_priv.21
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetCastingImpl
     0.01%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::missingKernel() const
     0.01%  python      python3.11                                             [.] bitwise_xor_rule
     0.01%  python      python3.11                                             [.] new_dict
     0.01%  python      libstdc++.so.6.0.32                                    [.] operator new(unsigned long)
     0.01%  python      python3.11                                             [.] _PyPegen_expect_token
     0.01%  python      python3.11                                             [.] set_dealloc
     0.01%  python      python3.11                                             [.] long_richcompare
     0.01%  python      python3.11                                             [.] PyBytes_FromStringAndSize
     0.01%  python      python3.11                                             [.] unicode_length
     0.01%  python      python3.11                                             [.] astfold_expr
     0.01%  python      python3.11                                             [.] do_mkvalue
     0.01%  python      libtorch_python.so                                     [.] pybind11::detail::get_type_info(std::type_info const&, bool)
     0.01%  python      python3.11                                             [.] PySlice_New
     0.01%  python      python3.11                                             [.] sre_ucs1_match
     0.01%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::updateDispatchTable_(c10::Dispatcher const&, c10::DispatchKey) [clone .part.0]
     0.01%  python      [unknown]                                              [k] 0xffffffff86400ba3
     0.01%  python      libc.so.6                                              [.] cfree@GLIBC_2.2.5
     0.01%  python      python3.11                                             [.] PyObject_SetAttr
     0.01%  python      [unknown]                                              [k] 0xffffffff8545f2ae
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] discover_dtype_from_pyobject
     0.01%  python      python3.11                                             [.] dictresize
     0.01%  python      python3.11                                             [.] func_dealloc
     0.01%  python      python3.11                                             [.] _PyFrame_Push
     0.01%  python      python3.11                                             [.] factor_rule
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _new_sortlike
     0.01%  python      ld-linux-x86-64.so.2                                   [.] _dl_relocate_object
     0.01%  python      python3.11                                             [.] vgetargs1_impl
     0.01%  python      python3.11                                             [.] PyDict_Copy
     0.01%  python      [unknown]                                              [k] 0xffffffff854328b6
     0.01%  python      libc.so.6                                              [.] __vsnprintf_internal
     0.01%  python      libtorch_cpu.so                                        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.01%  python      [unknown]                                              [k] 0xffffffff8640008c
     0.01%  python      [unknown]                                              [k] 0xffffffff8626bd48
     0.01%  python      [unknown]                                              [k] 0xffffffff8626bd45
     0.01%  python      [unknown]                                              [k] 0xffffffff85432b5c
     0.01%  python      [unknown]                                              [k] 0xffffffff8545f29f
     0.01%  python      [unknown]                                              [k] 0xffffffff85432ab2
     0.01%  python      libc.so.6                                              [.] __strncmp_avx2
     0.01%  python      [unknown]                                              [k] 0xffffffff854eaba6
     0.01%  python      [unknown]                                              [k] 0xffffffff8549abc7
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_isnan_SSE41
     0.01%  python      simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _parallel_thresh_cluster(std::complex<float>*, unsigned int, std::complex<float>*, unsigned int*, float, unsigned int, unsigned int) [clone ._omp_fn.0]
     0.01%  python      python3.11                                             [.] long_to_decimal_string_internal
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_PromoteDTypeSequence
     0.01%  python      simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _windowed_max(std::complex<float>*, long, std::complex<float>*, float*, long*, long, long)
     0.01%  python      python3.11                                             [.] clear_weakref
     0.01%  python      libhdf5.so.1000.0.0                                    [.] H5O_unprotect
     0.01%  python      python3.11                                             [.] cfunction_vectorcall_O
     0.01%  python      python3.11                                             [.] method_get
     0.01%  python      array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_5types_9array_cpu_47_scheme_matches_base_array(_object*, _object* const*, long, _object*)
     0.01%  python      libtorch_cpu.so                                        [.] c10::intrusive_ptr<c10::OperatorKernel, c10::detail::intrusive_target_default_null_type<c10::OperatorKernel> >::reset_not_null_(c10::OperatorKernel*)
     0.01%  python      chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignArray
     0.01%  python      libc10.so                                              [.] c10::getRuntimeDispatchKeySet(c10::DispatchKey)
     0.01%  python      python3.11                                             [.] free_keys_object
     0.01%  python      python3.11                                             [.] odict_traverse
     0.01%  python      simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] __Pyx_CyFunction_Vectorcall_FASTCALL_KEYWORDS(_object*, _object* const*, unsigned long, _object*)
     0.01%  python      chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx__GetBufferAndValidate(Py_buffer*, _object*, __Pyx_TypeInfo*, int, int, int, __Pyx_BufFmt_StackElem*) [clone .constprop.0]
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_MultiplyList
     0.01%  python      libmkl_def.so                                          [.] mkl_dft_def_ippsFFTInv_CToC_32fc
     0.01%  python      python3.11                                             [.] sys__getframe
     0.01%  python      python3.11                                             [.] PyLong_FromLong
     0.01%  python      python3.11                                             [.] buffered_flush
     0.01%  python      python3.11                                             [.] object_vacall
     0.01%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::deregisterKernel_(c10::Dispatcher const&, std::optional<c10::DispatchKey>, std::_List_iterator<c10::impl::AnnotatedKernel>)
     0.01%  python      libc.so.6                                              [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.01%  python      python3.11                                             [.] atom_rule.cold
     0.01%  python      python3.11                                             [.] slot_sq_length
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _get_part
     0.01%  python      python3.11                                             [.] finalize_interp_clear
     0.01%  python      python3.11                                             [.] cfunction_vectorcall_FASTCALL_KEYWORDS
     0.01%  python      python3.11                                             [.] decode_current_locale
     0.01%  python      python3.11                                             [.] dict_merge
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_isfinite_SSE41
     0.01%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact4_32fc
     0.01%  python      libc.so.6                                              [.] __wcslen_avx2
     0.01%  python      python3.11                                             [.] meth_traverse
     0.01%  python      libc.so.6                                              [.] clock_gettime@@GLIBC_2.17
