# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u' (time slices: 548190.994246801,548242.361700376)
# Event count (approx.): 131916619162
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_MinCastSafety
     0.01%  python   libc.so.6                                              [.] __errno_location
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __Pyx_AddTraceback
     0.01%  python   _errors.cpython-311-x86_64-linux-gnu.so                [.] __pyx_f_4h5py_7_errors_set_default_error_handler
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] min_scalar_type_num
     0.01%  python   python3.11                                             [.] PyImport_ImportModuleLevelObject.cold
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] wrap_strftime
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5CX_set_apl
     0.01%  python   python3.11                                             [.] type_getattro
     0.01%  python   python3.11                                             [.] _PyEval_EvalFrameDefault.cold
     0.01%  python   python3.11                                             [.] PyLong_AsUnsignedLong
     0.01%  python   python3.11                                             [.] vgetargskeywords
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5G__node_found
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FD_get_fileno
     0.01%  python   python3.11                                             [.] new_keys_object
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_EquivTypes
     0.01%  python   python3.11                                             [.] frame_dealloc
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5O_msg_exists_oh
     0.01%  python   python3.11                                             [.] ternary_op.constprop.0
     0.01%  python   [unknown]                                              [k] 0xffffffff852138e8
     0.01%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __Pyx_BufFmt_TypeCharToAlignment(char, int) [clone .constprop.0]
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D__get_space_api_common
     0.01%  python   python3.11                                             [.] insert_to_emptydict
     0.01%  python   libc.so.6                                              [.] __memmove_avx_unaligned_erms
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_setitem
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArrayIdentityHash_GetItem
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5P_copy_plist
     0.01%  python   python3.11                                             [.] deduce_unreachable
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetPriority.part.0
     0.01%  python   python3.11                                             [.] PyTuple_New
     0.01%  python   python3.11                                             [.] _PyLong_AsByteArray
     0.01%  python   python3.11                                             [.] long_hash
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python   libc.so.6                                              [.] __vsnprintf_internal
     0.01%  python   _errors.cpython-311-x86_64-linux-gnu.so                [.] __Pyx_CyFunction_CallAsMethod
     0.01%  python   python3.11                                             [.] PyUnicode_AsUTF8AndSize
